1. Labor rights and health,2. Inclusion and gender equity,3. Social Responsibility,4. Supply chain resilience,5. Social sustainability2Ord,RES_CS_1,RES_CS_2,RES_CS_3,RES_CS_4,RES_CS_5,RES_CS_6,TIEMPO_PANDEMIA
-1.652,-1.551,-1.614,-1.033,-1.783,4,3,3,4,5,5,PRE_Covid19_(2019)
-1.652,-1.551,-1.614,-1.033,-1.783,4,3,3,4,5,5,PRE_Covid19_(2019)
-1.17,-0.966,-0.836,-0.9,-1.109,5,3,5,4,4,4,PRE_Covid19_(2019)
0.246,0.015,-0.051,-0.899,0.085,4,3,4,4,5,5,PRE_Covid19_(2019)
-0.622,-1.838,-1.614,-1.817,-1.487,4,3,2,3,3,3,PRE_Covid19_(2019)
0.157,-1.783,-0.787,-2.582,-0.881,2,2,2,2,2,2,PRE_Covid19_(2019)
0.957,0.561,0.581,1.05,0.785,7,5,7,7,7,7,PRE_Covid19_(2019)
-0.15,-0.394,0.16,0.13,-0.155,6,5,6,6,6,4,PRE_Covid19_(2019)
0.255,-1.216,-1.776,-0.511,-0.961,6,4,4,5,4,5,PRE_Covid19_(2019)
-0.602,-0.498,-1.201,-0.647,-0.831,5,4,5,5,5,3,PRE_Covid19_(2019)
0.448,0.785,0.678,-0.391,0.703,5,4,5,5,6,4,PRE_Covid19_(2019)
-1.054,-0.202,-0.036,-0.377,-0.503,5,4,5,5,5,5,PRE_Covid19_(2019)
-0.828,-1.138,-1.362,-1.583,-1.217,5,2,2,3,5,3,PRE_Covid19_(2019)
0.108,-0.426,-0.963,-0.258,-0.444,6,4,6,5,5,4,PRE_Covid19_(2019)
-1.263,-1.824,-0.618,-0.103,-1.398,6,4,6,6,4,5,PRE_Covid19_(2019)
0.558,-0.058,0.685,-0.257,0.429,6,4,5,5,5,5,PRE_Covid19_(2019)
0.442,0.937,0.636,0.528,0.744,7,4,6,6,6,7,PRE_Covid19_(2019)
1.18,0.863,1.26,0.909,1.217,7,5,7,6,7,7,PRE_Covid19_(2019)
0.558,0.443,0.524,0.528,0.565,6,4,6,6,7,7,PRE_Covid19_(2019)
-1.889,-1.702,-0.933,-0.869,-1.704,5,4,6,6,2,2,PRE_Covid19_(2019)
0.253,0.015,0.145,0.415,0.154,7,4,5,7,5,7,PRE_Covid19_(2019)
-0.058,-0.051,-0.423,-0.116,-0.185,5,4,5,6,6,5,PRE_Covid19_(2019)
0.055,-0.347,0.524,-0.638,0.067,5,3,4,5,5,5,PRE_Covid19_(2019)
0.611,-0.779,1.099,0.132,0.316,6,4,6,5,6,6,PRE_Covid19_(2019)
